SEXO,IDADE,FX_ID,ESCOLARIDADE,P1A,P1B,P1C,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P4,RACA,RELIGIAO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA
FEM,62.0,55 A 64,2ª série (ou 3º ano),Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Evangelho Quadrangular,NÃO RESPONDEU,NÃO RESPONDEU,SUL,INTERIOR,DE 5.001 A 10.000,189601780.0,2023-09-03,Face a face
MAS,18.0,18 A 24,2ª série,Não,Não,Não,Reduzir as desigualdades sociais,Incentivar a geração de empregos,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Parda,Assembléia de Deus,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 10.001 A 20.000,189570104.0,2023-09-02,Face a face
FEM,27.0,25 A 34,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,Defender a igualdade entre homens e mulheres,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189555616.0,2023-09-02,Face a face
MAS,20.0,18 A 24,Superior incompleto,Não,Sim,Não,Incentivar a geração de empregos,Ampliar o uso de energias renováveis,Reduzir as desigualdades sociais,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Branca,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,MAIS DE 2 A 5,SUDESTE,INTERIOR,MAIS DE 500.000,189595148.0,2023-09-03,Face a face
MAS,45.0,45 A 54,4ª série (ou 5º ano),Sim,Sim,Sim,Ampliar os espaços de participação política da população,Melhorar a qualidade da saúde,Preservar os valores ligados à família,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189634633.0,2023-09-03,Face a face
FEM,39.0,35 A 44,3ª série,Sim,Sim,Não,Melhorar a qualidade da saúde,Incentivar a geração de empregos,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUL,INTERIOR,DE 20.001 A 50.000,189709406.0,2023-09-05,Face a face
MAS,45.0,45 A 54,3ª série,Não,Não,Não,Incentivar a geração de empregos,Reduzir as desigualdades sociais,,Não sabe/ Não respondeu,,,,,,Alguma vontade,Branca,Deus é Amor,ATÉ 1,MAIS DE 1 A 2,SUDESTE,PERIFERIA,MAIS DE 500.000,189666654.0,2023-09-04,Face a face
MAS,33.0,25 A 34,Superior incompleto,Não,Não,Não,Melhorar a qualidade da saúde,Incentivar a geração de empregos,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 5 A 10,SUL,INTERIOR,DE 20.001 A 50.000,189680786.0,2023-09-05,Face a face
MAS,50.0,45 A 54,Superior incompleto,Sim,Sim,Sim,Incentivar a geração de empregos,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,PERIFERIA,MAIS DE 500.000,189556239.0,2023-09-02,Face a face
FEM,83.0,65 E MAIS,2ª série,Não,Não,Não,Ampliar os espaços de participação política da população,Reduzir a violência,Melhorar a qualidade da educação,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,CAPITAL,MAIS DE 500.000,189636224.0,2023-09-04,Face a face
MAS,75.0,65 E MAIS,5ª série (ou 6º ano),Sim,Sim,Sim,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Muita vontade,Parda,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 5 A 10,NORTE,INTERIOR,DE 20.001 A 50.000,189527656.0,2023-09-01,Face a face
FEM,61.0,55 A 64,2ª série,Não,Não,Não,Melhorar a qualidade da saúde,Incentivar a geração de empregos,Melhorar a qualidade da educação,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Batista/ Metodista/ Presbiteriana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 10.001 A 20.000,189574222.0,2023-09-02,Face a face
MAS,24.0,18 A 24,2ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Melhorar a qualidade da saúde,Defender a igualdade entre homens e mulheres,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Alguma vontade,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189529033.0,2023-09-01,Face a face
MAS,20.0,18 A 24,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189608715.0,2023-09-03,Face a face
MAS,70.0,65 E MAIS,3ª série,Não,Não,Não,Reduzir a violência,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 5 A 10,SUDESTE,CAPITAL,MAIS DE 500.000,189523210.0,2023-09-01,Face a face
